product_id,title,brand,category,price,imgUrl
17302001,Girl's Chloe Skinny Jeans,chloe,apparel.jeans,85.8,https://m.media-amazon.com/images/I/81hZc7HlgBL._AC_UL320_.jpg
17302017,Girls' Big Chloe Skinny Fit Color Jean,chloe,apparel.jeans,85.8,https://m.media-amazon.com/images/I/71cXcDj58iL._AC_UL320_.jpg
17303083,Girl's Chloe Skinny Jeans,chloe,apparel.jeans,87.64,https://m.media-amazon.com/images/I/81hZc7HlgBL._AC_UL320_.jpg
17302639,Girl's Chloe High Rise Skinny Jeans,chloe,apparel.jeans,72.61,https://m.media-amazon.com/images/I/517xSqsib8L._AC_UL320_.jpg
17302122,"Girls' Little Toddler Chloe Skinny Fit Color Jean, Camper, 5",chloe,apparel.jeans,43.3,https://m.media-amazon.com/images/I/81FrljGnDoL._AC_UL320_.jpg
5000096,SINGER 4411FR Heavy Duty 4411 Sewing Machine with Accessories - Refurbished,singer,appliances.sewing_machine,154.17,https://m.media-amazon.com/images/I/61tx2pFPmkL._AC_UL320_.jpg
5000315,"SINGER Heavy Duty Sewing Machine With Included Accessory Kit, 110 Stitch Applications 4432, Perfect For Beginners, Gray",singer,appliances.sewing_machine,142.09,https://m.media-amazon.com/images/I/61aIkk9lmgL._AC_UL320_.jpg
5000770,"SINGER | S0100 Serger Overlock Machine With Included Accessory Kit - 2/3/4 Thread Capacity - 1300 SPM - Free Arm, White",singer,appliances.sewing_machine,259.09,https://m.media-amazon.com/images/I/61jgb3BBNBL._AC_UL320_.jpg
5000759,"SINGER | HD6700 Electronic Heavy Duty Sewing Machine with 411 Stitch Applications - Sewing Made Easy, Large, Gray",singer,appliances.sewing_machine,271.7,https://m.media-amazon.com/images/I/61mpPMhxWpL._AC_UL320_.jpg
5000273,SINGER 3337 Purple Mechanical Sewing Machine,singer,appliances.sewing_machine,162.33,https://m.media-amazon.com/images/I/61Qgn8+3wiL._AC_UL320_.jpg
5000098,"SINGER Making The Cut Sewing Machine with 97 Stitch Applications & Accessory Kit M3330, Simple & Easy To Use, Perfect For Beginners, Blue.",singer,appliances.sewing_machine,144.41,https://m.media-amazon.com/images/I/61N9r1xBzuL._AC_UL320_.jpg
5000618,"SINGER | SM024 Sewing Machine With Included Accessory Kit, 24 Stitches, Simple & Great For Beginners",singer,appliances.sewing_machine,126.87,https://m.media-amazon.com/images/I/61nNDLC3d6L._AC_UL320_.jpg
5000693,"Singer 3342 Sewing Machine, White",singer,appliances.sewing_machine,169.86,https://m.media-amazon.com/images/I/710M-Qhz2lL._AC_UL320_.jpg
5000267,Singer Sewing Machine (Renewed),singer,appliances.sewing_machine,153.01,https://m.media-amazon.com/images/I/41vysGX-psL._AC_UL320_.jpg
5000774,"SINGER | S0230 Serger Overlock Machine With Included Accessory Kit - Heavy Duty Frame - 1300 Stitches Per Min - 4 Thread - Differential Feed - Making The Cut Edition , Blue",singer,appliances.sewing_machine,274.79,https://m.media-amazon.com/images/I/51nCUcN8EnL._AC_UL320_.jpg
5000600,"SINGER | Sewing Machine Accessory Kit, Including 9 Presser Feet, Twin Needle, and Case, Clear - Sewing Made Easy",singer,appliances.sewing_machine,128.45,https://m.media-amazon.com/images/I/71HwSXWIKzL._AC_UL320_.jpg
5000094,"SINGER 44S with Kit Sewing Machine, Grey",singer,appliances.sewing_machine,186.87,https://m.media-amazon.com/images/I/71oTDj8sZBL._AC_UL320_.jpg
5000773,SINGER | 4411 Heavy Duty Sewing Machine With Accessory Kit & Foot Pedal - 69 Stitch Applications - Simple & Great For Beginners,singer,appliances.sewing_machine,187.33,https://m.media-amazon.com/images/I/61kqzhEmXuL._AC_UL320_.jpg
5000772,"SINGER | Heavy Duty 4452 Sewing Machine , Gray",singer,appliances.sewing_machine,198.68,https://m.media-amazon.com/images/I/61d7VugSYCL._AC_UL320_.jpg
5000827,SINGER | C5200 Computerized Sewing Machine,singer,appliances.sewing_machine,186.77,https://m.media-amazon.com/images/I/41bFiK9fEUL._AC_UL320_.jpg
5000776,"SINGER | 4423 Heavy Duty Sewing Machine With Included Accessory Kit, 97 Stitch Applications, Simple, Easy To Use & Great for Beginners",singer,appliances.sewing_machine,159.59,https://m.media-amazon.com/images/I/61euS2miJ9L._AC_UL320_.jpg
5000775,"SINGER | HD6700 Electronic Heavy Duty Sewing Machine with 411 Stitch Applications - Sewing Made Easy, Large, Gray",singer,appliances.sewing_machine,394.58,https://m.media-amazon.com/images/I/61mpPMhxWpL._AC_UL320_.jpg
1303193,Lenovo Legion 5 Pro 16ACH6H 82JQ00F9US 16 Gaming Notebook - QHD - 2560 x 1600 - AMD Ryzen 7 5800H Octa-core [8 Core] 3.20 GHz - 16 GB Total RAM - 512 GB SSD - Storm Gray,lenovo,computers.notebook,1339.11,https://m.media-amazon.com/images/I/71a6AjwZKlL._AC_UL320_.jpg
1306722,"Lenovo ThinkPad T14 Gen 3 21AH00BNUS 14"" Notebook - 2.2K - Intel Core i7 12th Gen i7-1270P Dodeca-core (12 Core) - 16 GB Total RAM - 8 GB On-Board Memory - 512 GB SSD - Thunder Black",lenovo,computers.notebook,1132.56,https://m.media-amazon.com/images/I/51d3fYcGe+L._AC_UL320_.jpg
1306021,"Lenovo 2022 Ideapad 3i Touch-Screen Laptops for College Students & Business, 15.6 inch HD Computer, Intel Core i3-1115G4, 12GB RAM, 512GB SSD, HDMI, Webcam, Bluetooth, Windows 11, LIONEYE MP",lenovo,computers.notebook,504.26,https://m.media-amazon.com/images/I/71HSBtWksbL._AC_UL320_.jpg
1306562,"OEM Lenovo ThinkPad T15 Gen 2 15.6"" FHD IPS, Intel Quad Core i7-1165G7, 40GB RAM, 1TB NVMe, Fingerprint Reader, Backlit, WiFi 6, Bluetooth, W11P, Business Laptop",lenovo,computers.notebook,1104.25,https://m.media-amazon.com/images/I/71nySW5bDsL._AC_UL320_.jpg
1306556,"Lenovo ThinkPad T14 Laptop, 14.0"" FHD IPS Display, Ryzen 5 Pro 4650U up to 4.0GHz, AMD Radeon Graphics, 16GB RAM, 1TB PCIe SSD, Fingerprint, Win 10 Pro, Black, with MTC Mousepad",lenovo,computers.notebook,1080.85,https://m.media-amazon.com/images/I/51Wc1Mxy-xL._AC_UL320_.jpg
1306414,"Lenovo ThinkPad X1 Yoga Gen 6 2-in-1 Laptop 14"" FHD+ IPS Touchscreen (400 nits) 11th Gen Intel Quad-Core i5-1135G7 (Beats i7-10510U) 8GB RAM 512GB SSD Fingerprint Pen Win10Pro + HDMI Cable",lenovo,computers.notebook,875.16,https://m.media-amazon.com/images/I/611RKIJV-NL._AC_UL320_.jpg
100002074,"Lenovo 2023 ThinkPad E15 Gen 4 High Performance Business Laptop: AMD Ryzen 5 5625U Hex-Core, 16GB RAM, 2TB NVMe SSD, 15.6"" FHD 1920x1080 IPS Display, Win 10 Pro, Silver",lenovo,computers.notebook,1271.18,https://m.media-amazon.com/images/I/71hwpV5oXsL._AC_UL320_.jpg
1307230,"Lenovo ThinkCentre M80s Gen 3 SFF Desktop Computer - 12th Gen Intel Core i5-12500 6-Core up to 4.60 GHz CPU, 16GB DDR5 RAM, 1TB NVMe SSD + 1TB HDD, Intel UHD Graphics 770, DVD-RW, Windows 11 Pro",lenovo,computers.notebook,1196.92,https://m.media-amazon.com/images/I/61upzH+TgFL._AC_UL320_.jpg
1304608,"Lenovo X1 Carbon 6th Generation Ultrabook: Core i7-8550U, 16GB RAM, 512GB SSD, 14Inch Full HD Display, Backlit Keyboard",lenovo,computers.notebook,1148.89,https://m.media-amazon.com/images/I/41QuHR9G0hL._AC_UL320_.jpg
